Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Which service is used to manage APIs in Azure?;Azure App Service;Azure API Management;Azure Logic Apps;Azure Functions;B;Azure API Management allows you to publish  secure  transform  and maintain APIs.
What is the main use of Azure Blob Storage?;To store relational data;To store large amounts of unstructured data;To store log files only;To store virtual machines;B;Azure Blob Storage is used to store large amounts of unstructured data  such as images and videos.
Which Azure service helps in setting up a Continuous Integration and Continuous Deployment (CI/CD) pipeline?;Azure Monitor;Azure DevOps;Azure Functions;Azure Logic Apps;B;Azure DevOps helps set up CI/CD pipelines for automating the deployment of applications.
What is the main purpose of Azure Event Grid?;To trigger functions based on a schedule;To route events from multiple sources to different handlers;To store event logs;To send email notifications;B;Azure Event Grid is used to route events from various sources to different destinations  such as Azure Functions or Logic Apps.
Which of the following can be used to deploy a containerized application in Azure?;Azure Kubernetes Service (AKS);Azure App Service;Azure Functions;Azure Logic Apps;A;Azure Kubernetes Service (AKS) is used to deploy and manage containerized applications in Kubernetes clusters.
Which tool allows developers to manage Azure resources via scripts?;Azure CLI;Azure Monitor;Azure API Management;Azure Logic Apps;A;Azure CLI is a command-line tool that allows developers to manage and automate Azure resources using scripts.
Which service helps manage secrets  keys  and certificates in Azure?;Azure DevOps;Azure Key Vault;Azure Blob Storage;Azure Event Grid;B;Azure Key Vault is used to securely store and manage secrets  keys  and certificates.
How can you monitor the performance and health of Azure applications?;Azure App Service;Azure DevOps;Azure Monitor;Azure Functions;C;Azure Monitor provides insights into the performance and health of applications running in Azure.
Which Azure service is best for building event-driven  serverless applications?;Azure App Service;Azure Functions;Azure Virtual Machines;Azure Kubernetes Service;B;Azure Functions is used to build serverless  event-driven applications.
What is the role of Azure Logic Apps?;To create APIs;To automate workflows and integrate systems;To monitor cloud services;To store data;B;Azure Logic Apps help automate workflows and integrate systems with predefined connectors.
Which Azure service provides fully managed NoSQL databases?;Azure SQL Database;Azure Cosmos DB;Azure Blob Storage;Azure Table Storage;B;Azure Cosmos DB is a fully managed NoSQL database service that supports multiple APIs.
What is the primary purpose of Azure Service Bus?;To store data;To enable reliable messaging between applications;To manage containerized applications;To host virtual machines;B;Azure Service Bus is used to provide reliable messaging between applications.
What is the benefit of using Azure Cosmos DB’s multi-region replication?;Higher availability and reduced latency;Lower costs;Simplified data modeling;Increased disk storage;A;Multi-region replication in Azure Cosmos DB ensures higher availability and lower latency by distributing data across multiple regions.
How can you secure access to your Azure Web App?;Using Azure Active Directory B2C;Using Azure Monitor;Using Azure Key Vault;Using Azure Traffic Manager;A;Azure Active Directory B2C can be used to manage secure access to Azure Web Apps through authentication and authorization.
Which service can be used to trigger an event based on file uploads to Blob storage?;Azure Logic Apps;Azure Functions;Azure Event Grid;Azure API Management;C;Azure Event Grid can trigger an event when a file is uploaded to Blob storage.
How can you automate the scaling of your Azure App Service?;Azure Monitor;Azure DevOps;Azure Scale Sets;Azure App Service Autoscale;D;Azure App Service Autoscale helps automatically scale the app service based on demand.
Which service provides distributed tracing  log aggregation  and real-time analytics for cloud applications?;Azure Monitor;Azure Logic Apps;Azure Functions;Azure Application Insights;D;Azure Application Insights helps monitor application performance and provides distributed tracing and log aggregation for Azure applications.
Which service would you use to schedule and run background jobs in Azure?;Azure App Service;Azure Kubernetes Service;Azure WebJobs;Azure DevOps;C;Azure WebJobs is used to run background tasks and jobs in Azure App Service.
How do you manage application configurations separately from code in Azure?;Azure App Configuration;Azure App Service;Azure Functions;Azure Logic Apps;A;Azure App Configuration allows you to manage application settings and configurations separately from the codebase.
What is the main advantage of using Azure Functions over traditional cloud services?;Manual scalability;Serverless execution and auto-scaling;Fixed pricing;Requires dedicated servers;B;Azure Functions offer serverless execution and automatically scale based on demand without the need to manage underlying servers.
Which Azure service allows you to distribute incoming traffic across multiple applications?;Azure Load Balancer;Azure Traffic Manager;Azure Front Door;Azure App Service;C;Azure Front Door is a scalable and secure entry point for fast delivery of applications globally  distributing traffic across multiple applications.
What is the use of Azure Redis Cache?;To store large amounts of data;To improve application performance by caching frequently used data;To monitor application performance;To automate resource scaling;B;Azure Redis Cache improves application performance by storing frequently used data in memory  reducing the need to fetch data from the database.
How can you manage multiple Azure resources together as a single unit?;Azure Logic Apps;Azure Resource Group;Azure App Service;Azure Kubernetes Service;B;Azure Resource Groups allow you to manage multiple Azure resources together as a single unit for easier management.
Which tool allows you to monitor metrics and logs for an Azure Kubernetes Service (AKS) cluster?;Azure DevOps;Azure Monitor;Azure Functions;Azure Logic Apps;B;Azure Monitor can be used to monitor metrics and logs for Azure Kubernetes Service (AKS) clusters.
